"mesec","kolicina_podatkov","model","vrsta_napake","napaka"
"avgust","izbrani","linearna_regresija","rmae",0.6760770   
"avgust","izbrani","linearna_regresija","rmse",0.5102655
"avgust","vsi","regresijsko_drevo","mae",59.494791  
"avgust","vsi","regresijsko_drevo","rmae",0.379001
"avgust","izbrani","regresijsko_drevo","mae",76.4719054    
"avgust","izbrani","regresijsko_drevo","rmae",0.4871507
"avgust","vsi","nakljucni_gozd","mae",16.2384840    
"avgust","vsi","nakljucni_gozd","rmae",0.1034444
"avgust","izbrani","nakljucni_gozd","mae",38.8355170   
"avgust","izbrani","nakljucni_gozd","rmae",0.2473948
"septemeber","vsi","linearna_regresija","mae",86.4353311 
"septemeber","vsi","linearna_regresija","mse",142.4969680   
"septemeber","vsi","linearna_regresija","rmae",0.5704282      
"septemeber","vsi","linearna_regresija","rmse",0.3235101
"septemeber","izbrani","linearna_regresija","mae",107.3497837  
"septemeber","izbrani","linearna_regresija","mse",187.2101568      
"septemeber","izbrani","linearna_regresija","rmae",0.7084527      
"septemeber","izbrani","linearna_regresija","rmse",0.5583871
"septemeber","vsi","regresijsko_drevo","mae",56.7631860    
"septemeber","vsi","regresijsko_drevo","rmae",0.3746075
"septemeber","izbrani","regresijsko_drevo","mae",75.2293586      
"septemeber","izbrani","regresijsko_drevo","rmae",0.4964746
"septemeber","vsi","nakljucni_gozd","mae",13.804724      
"septemeber","vsi","nakljucni_gozd","rmae",0.091104
"septemeber","izbrani","nakljucni_gozd","mae",37.4199393    
"septemeber","izbrani","nakljucni_gozd","rmae",0.2469521
"oktober","vsi","linearna_regresija","mae",81.8118704  
"oktober","vsi","linearna_regresija","mse",131.9627694      
"oktober","vsi","linearna_regresija","rmae",0.5453784         
"oktober","vsi","linearna_regresija","rmse",0.3169219
"oktober","izbrani","linearna_regresija","mae",112.1099643   
"oktober","izbrani","linearna_regresija","mse",180.0648701         
"oktober","izbrani","linearna_regresija","rmae",0.7473531        
"oktober","izbrani","linearna_regresija","rmse",0.5900753
"oktober","vsi","regresijsko_drevo","mae",56.2005867      
"oktober","vsi","regresijsko_drevo","rmae",0.3746472
"oktober","izbrani","regresijsko_drevo","mae",69.1747725        
"oktober","izbrani","regresijsko_drevo","rmae",0.4611364
"oktober","vsi","nakljucni_gozd","mae",14.2929667        
"oktober","vsi","nakljucni_gozd","rmae",0.0952805
"oktober","izbrani","nakljucni_gozd","mae",37.8261121     
"oktober","izbrani","nakljucni_gozd","rmae",0.2521584
"november","vsi","linearna_regresija","mae",78.7362048 
"november","vsi","linearna_regresija","mse",126.4952699         
"november","vsi","linearna_regresija","rmae",0.5244861            
"november","vsi","linearna_regresija","rmse",0.2980881
"november","izbrani","linearna_regresija","mae",101.0253106    
"november","izbrani","linearna_regresija","mse",168.4204062            
"november","izbrani","linearna_regresija","rmae",0.6729607          
"november","izbrani","linearna_regresija","rmse",0.5284276
"november","vsi","regresijsko_drevo","mae",56.653280       
"november","vsi","regresijsko_drevo","rmae",0.377385
"november","izbrani","regresijsko_drevo","mae",69.752215         
"november","izbrani","regresijsko_drevo","rmae",0.464641
"november","vsi","nakljucni_gozd","mae",13.67256382          
"november","vsi","nakljucni_gozd","rmae",0.09107716
"november","izbrani","nakljucni_gozd","mae",36.5923257       
"november","izbrani","nakljucni_gozd","rmae",0.2437528
"december","vsi","linearna_regresija","mae",80.5640026 
"december","vsi","linearna_regresija","mse",131.6126910            
"december","vsi","linearna_regresija","rmae",0.5370561               
"december","vsi","linearna_regresija","rmse",0.2875575
"december","izbrani","linearna_regresija","mae",97.6036121     
"december","izbrani","linearna_regresija","mse",173.5754803              
"december","izbrani","linearna_regresija","rmae",0.6506456             
"december","izbrani","linearna_regresija","rmse",0.5001565
"december","vsi","regresijsko_drevo","mae",53.6354968         
"december","vsi","regresijsko_drevo","rmae",0.3575452
"december","izbrani","regresijsko_drevo","mae",66.4467167          
"december","izbrani","regresijsko_drevo","rmae",0.4429474
"december","vsi","nakljucni_gozd","mae",15.1668736            
"december","vsi","nakljucni_gozd","rmae",0.1011055
"december","izbrani","nakljucni_gozd","mae",37.5529508         
"december","izbrani","nakljucni_gozd","rmae",0.2503356



