"mesec","kolicina_podatkov","model","vrsta_napake","napaka"
"avgust","izbrani","linearna_regresija","mse",149.4452945        
"avgust","izbrani","linearna_regresija","rmae",0.7824211        
"avgust","izbrani","linearna_regresija","rmse",0.6224815
"avgust","vsi","regresijsko_drevo","mae",38.1070081    
"avgust","vsi","regresijsko_drevo","rmae",0.2892474
"avgust","izbrani","regresijsko_drevo","mae",51.0019185      
"avgust","izbrani","regresijsko_drevo","rmae",0.3871249
"avgust","vsi","nakljucni_gozd","mae",12.20922915       
"avgust","vsi","nakljucni_gozd","rmae",0.09267292
"avgust","izbrani","nakljucni_gozd","mae",24.94467     
"avgust","izbrani","nakljucni_gozd","rmae",0.18934
"septemeber","vsi","linearna_regresija","mae",77.3866924  
"septemeber","vsi","linearna_regresija","mse",114.9313719        
"septemeber","vsi","linearna_regresija","rmae",0.5806241           
"septemeber","vsi","linearna_regresija","rmse",0.3587577
"septemeber","izbrani","linearna_regresija","mae",107.8586198    
"septemeber","izbrani","linearna_regresija","mse",152.9134403          
"septemeber","izbrani","linearna_regresija","rmae",0.8092518            
"septemeber","izbrani","linearna_regresija","rmse",0.6350608
"septemeber","vsi","regresijsko_drevo","mae",37.7858091        
"septemeber","vsi","regresijsko_drevo","rmae",0.2835029
"septemeber","izbrani","regresijsko_drevo","mae",48.3462040          
"septemeber","izbrani","regresijsko_drevo","rmae",0.3627364
"septemeber","vsi","nakljucni_gozd","mae",11.02190527         
"septemeber","vsi","nakljucni_gozd","rmae",0.08269618
"septemeber","izbrani","nakljucni_gozd","mae",26.5267876    
"septemeber","izbrani","nakljucni_gozd","rmae",0.1990277
"oktober","vsi","linearna_regresija","mae",77.2883248    
"oktober","vsi","linearna_regresija","mse",114.7573737         
"oktober","vsi","linearna_regresija","rmae",0.5862183           
"oktober","vsi","linearna_regresija","rmse",0.3652100
"oktober","izbrani","linearna_regresija","mae",108.6553811    
"oktober","izbrani","linearna_regresija","mse",154.0955073             
"oktober","izbrani","linearna_regresija","rmae",0.8241319             
"oktober","izbrani","linearna_regresija","rmse",0.6585086
"oktober","vsi","regresijsko_drevo","mae",36.9316583         
"oktober","vsi","regresijsko_drevo","rmae",0.2801201
"oktober","izbrani","regresijsko_drevo","mae",48.3383083            
"oktober","izbrani","regresijsko_drevo","rmae",0.3666375
"oktober","vsi","nakljucni_gozd","mae",9.73288142           
"oktober","vsi","nakljucni_gozd","rmae",0.07382219
"oktober","izbrani","nakljucni_gozd","mae",23.5391028       
"oktober","izbrani","nakljucni_gozd","rmae",0.1785399
"november","vsi","linearna_regresija","mae",77.1715217  
"november","vsi","linearna_regresija","mse",114.3483233            
"november","vsi","linearna_regresija","rmae",0.5879473                 
"november","vsi","linearna_regresija","rmse",0.3652653
"november","izbrani","linearna_regresija","mae",109.9391230      
"november","izbrani","linearna_regresija","mse",155.5386129                 
"november","izbrani","linearna_regresija","rmae",0.8375941              
"november","izbrani","linearna_regresija","rmse",0.6758111
"november","vsi","regresijsko_drevo","mae",36.8086292          
"november","vsi","regresijsko_drevo","rmae",0.2804342
"november","izbrani","regresijsko_drevo","mae",50.9497650             
"november","izbrani","regresijsko_drevo","rmae",0.3881714
"november","vsi","nakljucni_gozd","mae",11.4507991              
"november","vsi","nakljucni_gozd","rmae",0.0872403
"november","izbrani","nakljucni_gozd","mae",29.3106679         
"november","izbrani","nakljucni_gozd","rmae",0.2233094
"december","vsi","linearna_regresija","mae",77.1492808  
"december","vsi","linearna_regresija","mse",114.6365743                 
"december","vsi","linearna_regresija","rmae",0.5981465                    
"december","vsi","linearna_regresija","rmse",0.3913303
"december","izbrani","linearna_regresija","mae",108.621243       
"december","izbrani","linearna_regresija","mse",154.550769                  
"december","izbrani","linearna_regresija","rmae",0.842152                  
"december","izbrani","linearna_regresija","rmse",0.711278
"december","vsi","regresijsko_drevo","mae",36.0524503             
"december","vsi","regresijsko_drevo","rmae",0.2795185
"december","izbrani","regresijsko_drevo","mae",50.4597141              
"december","izbrani","regresijsko_drevo","rmae",0.3912195
"december","vsi","nakljucni_gozd","mae",13.3810602              
"december","vsi","nakljucni_gozd","rmae",0.1037448
"december","izbrani","nakljucni_gozd","mae",26.0639295            
"december","izbrani","nakljucni_gozd","rmae",0.2020764



