"mesec","kolicina_podatkov","model","vrsta_napake","napaka"
"avgust","izbrani","linearna_regresija","mse",196.3546718     
"avgust","izbrani","linearna_regresija","rmae",0.5316184      
"avgust","izbrani","linearna_regresija","rmse",0.2826821
"avgust","vsi","regresijsko_drevo","mae",87.4513306   
"avgust","vsi","regresijsko_drevo","rmae",0.4526547
"avgust","izbrani","regresijsko_drevo","mae",91.9485063     
"avgust","izbrani","regresijsko_drevo","rmae",0.4759324
"avgust","vsi","nakljucni_gozd","mae",24.8371292      
"avgust","vsi","nakljucni_gozd","rmae",0.1285589
"avgust","izbrani","nakljucni_gozd","mae",57.9053483    
"avgust","izbrani","nakljucni_gozd","rmae",0.2997225
"septemeber","vsi","linearna_regresija","mae",84.7684769 
"septemeber","vsi","linearna_regresija","mse",138.4021014      
"septemeber","vsi","linearna_regresija","rmae",0.4516274         
"septemeber","vsi","linearna_regresija","rmse",0.1670503
"septemeber","izbrani","linearna_regresija","mae",103.5185843   
"septemeber","izbrani","linearna_regresija","mse",180.4733853        
"septemeber","izbrani","linearna_regresija","rmae",0.5515238         
"septemeber","izbrani","linearna_regresija","rmse",0.2840457
"septemeber","vsi","regresijsko_drevo","mae",70.6049596      
"septemeber","vsi","regresijsko_drevo","rmae",0.3761674
"septemeber","izbrani","regresijsko_drevo","mae",80.0932685        
"septemeber","izbrani","regresijsko_drevo","rmae",0.4267189
"septemeber","vsi","nakljucni_gozd","mae",23.0303419        
"septemeber","vsi","nakljucni_gozd","rmae",0.1227005
"septemeber","izbrani","nakljucni_gozd","mae",60.7188353     
"septemeber","izbrani","nakljucni_gozd","rmae",0.3234963
"oktober","vsi","linearna_regresija","mae",84.6052312   
"oktober","vsi","linearna_regresija","mse",134.3656723       
"oktober","vsi","linearna_regresija","rmae",0.4745543         
"oktober","vsi","linearna_regresija","rmse",0.2234257
"oktober","izbrani","linearna_regresija","mae",123.4859049   
"oktober","izbrani","linearna_regresija","mse",193.9556598            
"oktober","izbrani","linearna_regresija","rmae",0.6926377           
"oktober","izbrani","linearna_regresija","rmse",0.4655447
"oktober","vsi","regresijsko_drevo","mae",66.0193230        
"oktober","vsi","regresijsko_drevo","rmae",0.3703052
"oktober","izbrani","regresijsko_drevo","mae",75.866427          
"oktober","izbrani","regresijsko_drevo","rmae",0.425538
"oktober","vsi","nakljucni_gozd","mae",22.7040633          
"oktober","vsi","nakljucni_gozd","rmae",0.1273481
"oktober","izbrani","nakljucni_gozd","mae",59.0074108       
"oktober","izbrani","nakljucni_gozd","rmae",0.3309751
"november","vsi","linearna_regresija","mae",81.6584077 
"november","vsi","linearna_regresija","mse",127.6740620           
"november","vsi","linearna_regresija","rmae",0.4762138              
"november","vsi","linearna_regresija","rmse",0.2345822
"november","izbrani","linearna_regresija","mae",90.6188705     
"november","izbrani","linearna_regresija","mse",162.8961195              
"november","izbrani","linearna_regresija","rmae",0.5284692            
"november","izbrani","linearna_regresija","rmse",0.3818661
"november","vsi","regresijsko_drevo","mae",58.8601817         
"november","vsi","regresijsko_drevo","rmae",0.3432596
"november","izbrani","regresijsko_drevo","mae",71.7797059           
"november","izbrani","regresijsko_drevo","rmae",0.4186034
"november","vsi","nakljucni_gozd","mae",16.94464391            
"november","vsi","nakljucni_gozd","rmae",0.09881742
"november","izbrani","nakljucni_gozd","mae",41.507396       
"november","izbrani","nakljucni_gozd","rmae",0.242062
"december","vsi","linearna_regresija","mae",81.7276714  
"december","vsi","linearna_regresija","mse",124.8614431              
"december","vsi","linearna_regresija","rmae",0.4838984                  
"december","vsi","linearna_regresija","rmse",0.1962693
"december","izbrani","linearna_regresija","mae",99.1720563      
"december","izbrani","linearna_regresija","mse",165.3304968                
"december","izbrani","linearna_regresija","rmae",0.5871842                
"december","izbrani","linearna_regresija","rmse",0.3441135
"december","vsi","regresijsko_drevo","mae",56.4840864           
"december","vsi","regresijsko_drevo","rmae",0.3344345
"december","izbrani","regresijsko_drevo","mae",72.6239519            
"december","izbrani","regresijsko_drevo","rmae",0.4299965
"december","vsi","nakljucni_gozd","mae",16.9653293             
"december","vsi","nakljucni_gozd","rmae",0.1004494
"december","izbrani","nakljucni_gozd","mae",45.6710920           
"december","izbrani","nakljucni_gozd","rmae",0.2704123



